from,to,type
Q92464290,Q97749941,spouse
Q102434206,Q102434217,spouse
Q102434015,Q102434144,spouse
Q106630002,Q106630003,spouse
Q106630013,Q106630015,spouse
Q106630007,Q106630009,spouse
Q106630017,Q106630018,spouse
Q106630021,Q106630022,spouse
Q106630032,Q106630036,spouse
Q106630024,Q106630025,spouse
Q106630027,Q106630028,spouse
Q106630037,Q106630038,spouse
Q106630039,Q106630040,spouse
Q106630046,Q106630047,spouse
Q106630048,Q106630050,spouse
Q106630051,Q106630052,spouse
Q102433534,Q102433548,sibling_any
Q102433534,Q102433555,sibling_any
Q102433548,Q102433555,sibling_any
Q106630013,Q135582897,sibling_any
Q23784752,Q312556,sibling_any
NA,NA,spouse_p26
Q312556,Q4407963,spouse_p26
Q10322797,Q312556,spouse_p26
Q92464290,Q97748633,spouse_p26
Q92464290,Q97749941,spouse_p26
NA,NA,sibling_p3373
Q23784752,Q312556,sibling_p3373
Q102433534,Q102433548,sibling_p3373
Q102433534,Q102433555,sibling_p3373
Q102433548,Q102433555,sibling_p3373
