from,to,type
Q72524,Q75882,spouse
Q20751111,Q63043,spouse
Q20751076,Q2589319,spouse
Q57771,Q59245705,spouse
Q5535800,Q86208,spouse
Q127325131,Q57249,spouse
Q592879,Q85636,spouse
Q15791692,Q2649583,spouse
Q105926,Q1170395,spouse
Q101163,Q1113071,sibling_any
Q101163,Q1674480,sibling_any
Q105855915,Q60716,sibling_any
Q105855915,Q97002,sibling_any
Q1113071,Q1674480,sibling_any
Q1540165,Q289590,sibling_any
Q1540165,Q75900,sibling_any
Q18704846,Q655637,sibling_any
Q28317048,Q28317051,sibling_any
Q289590,Q75900,sibling_any
Q60716,Q97002,sibling_any
Q62496,Q72524,sibling_any
Q78713,Q94757736,sibling_any
Q78769,Q85636,sibling_any
NA,NA,spouse_p26
Q127325131,Q57249,spouse_p26
Q15791692,Q2649583,spouse_p26
Q20751076,Q2589319,spouse_p26
Q20751111,Q63043,spouse_p26
Q104244647,Q28317048,spouse_p26
Q2561068,Q289590,spouse_p26
Q104244727,Q30863,spouse_p26
Q5535800,Q86208,spouse_p26
Q57771,Q59245705,spouse_p26
Q592879,Q85636,spouse_p26
Q57202,Q63043,spouse_p26
Q72524,Q75882,spouse_p26
Q70369423,Q78465,spouse_p26
Q1498159,Q78713,spouse_p26
Q96655,Q97002,spouse_p26
Q1097523,Q97002,spouse_p26
Q104244659,Q28317051,spouse_p26
Q29640766,Q655637,spouse_p26
NA,NA,sibling_p3373
Q101163,Q1113071,sibling_p3373
Q1113071,Q1633289,sibling_p3373
Q1113071,Q1674480,sibling_p3373
Q1560580,Q98228,sibling_p3373
Q1560580,Q15821050,sibling_p3373
Q1560580,Q18921896,sibling_p3373
Q1560580,Q19976123,sibling_p3373
Q18704846,Q655637,sibling_p3373
Q126871566,Q20751111,sibling_p3373
Q22001178,Q94787687,sibling_p3373
Q15822957,Q2644399,sibling_p3373
Q28317048,Q28317051,sibling_p3373
Q289590,Q75900,sibling_p3373
Q30863,Q57771,sibling_p3373
Q592879,Q80887741,sibling_p3373
Q592879,Q80890422,sibling_p3373
Q62496,Q72524,sibling_p3373
Q78769,Q85636,sibling_p3373
Q60716,Q97002,sibling_p3373
Q18566023,Q62496,sibling_p3373
Q18566050,Q62496,sibling_p3373
Q21459886,Q62496,sibling_p3373
Q21460156,Q62496,sibling_p3373
Q48926402,Q62496,sibling_p3373
Q48926409,Q62496,sibling_p3373
