from,to,type
NA,NA,spouse_p26
Q127325131,Q57249,spouse_p26
Q15791692,Q2649583,spouse_p26
Q20751076,Q2589319,spouse_p26
Q20751111,Q63043,spouse_p26
Q104244647,Q28317048,spouse_p26
Q2561068,Q289590,spouse_p26
Q104244727,Q30863,spouse_p26
Q5535800,Q86208,spouse_p26
Q57771,Q59245705,spouse_p26
Q592879,Q85636,spouse_p26
Q57202,Q63043,spouse_p26
Q72524,Q75882,spouse_p26
Q70369423,Q78465,spouse_p26
Q1498159,Q78713,spouse_p26
Q96655,Q97002,spouse_p26
Q1097523,Q97002,spouse_p26
Q104244659,Q28317051,spouse_p26
Q29640766,Q655637,spouse_p26
