from,to,type
NA,NA,sibling_p3373
Q101163,Q1113071,sibling_p3373
Q1113071,Q1633289,sibling_p3373
Q1113071,Q1674480,sibling_p3373
Q1560580,Q98228,sibling_p3373
Q1560580,Q15821050,sibling_p3373
Q1560580,Q18921896,sibling_p3373
Q1560580,Q19976123,sibling_p3373
Q18704846,Q655637,sibling_p3373
Q126871566,Q20751111,sibling_p3373
Q22001178,Q94787687,sibling_p3373
Q15822957,Q2644399,sibling_p3373
Q28317048,Q28317051,sibling_p3373
Q289590,Q75900,sibling_p3373
Q30863,Q57771,sibling_p3373
Q592879,Q80887741,sibling_p3373
Q592879,Q80890422,sibling_p3373
Q62496,Q72524,sibling_p3373
Q78769,Q85636,sibling_p3373
Q60716,Q97002,sibling_p3373
Q18566023,Q62496,sibling_p3373
Q18566050,Q62496,sibling_p3373
Q21459886,Q62496,sibling_p3373
Q21460156,Q62496,sibling_p3373
Q48926402,Q62496,sibling_p3373
Q48926409,Q62496,sibling_p3373
